iter	Passed	Remaining
0	18	5444
1	38	5712
2	63	6266
3	86	6383
4	106	6277
5	127	6251
6	148	6216
7	165	6052
8	182	5907
9	198	5767
10	219	5774
11	240	5762
12	258	5697
13	275	5635
14	292	5562
15	310	5511
16	328	5475
17	345	5419
18	364	5386
19	386	5414
20	408	5425
21	428	5417
22	449	5410
23	469	5400
24	487	5363
25	505	5323
26	524	5302
27	541	5258
28	558	5222
29	576	5190
30	596	5172
31	616	5164
32	637	5156
33	656	5134
34	673	5097
35	688	5047
36	703	5001
37	719	4962
38	735	4919
39	752	4890
40	767	4847
41	782	4805
42	797	4767
43	814	4738
44	829	4700
45	845	4665
46	859	4628
47	874	4591
48	889	4557
49	905	4528
50	921	4498
51	941	4492
52	960	4475
53	980	4468
54	1001	4460
55	1020	4446
56	1039	4433
57	1059	4420
58	1078	4404
59	1093	4375
60	1109	4346
61	1124	4318
62	1143	4300
63	1163	4290
64	1183	4279
65	1205	4272
66	1223	4256
67	1242	4239
68	1261	4223
69	1279	4203
70	1294	4175
71	1315	4165
72	1335	4152
73	1357	4146
74	1375	4125
75	1390	4099
76	1407	4075
77	1422	4047
78	1436	4019
79	1452	3993
80	1467	3967
81	1483	3944
82	1508	3943
83	1527	3928
84	1548	3915
85	1572	3911
86	1593	3901
87	1612	3885
88	1627	3858
89	1641	3831
90	1657	3806
91	1672	3780
92	1687	3756
93	1704	3735
94	1720	3711
95	1734	3686
96	1749	3661
97	1766	3641
98	1781	3617
99	1796	3592
100	1811	3568
101	1825	3543
102	1841	3521
103	1858	3502
104	1876	3484
105	1898	3474
106	1915	3455
107	1931	3433
108	1946	3410
109	1960	3387
110	1975	3364
111	1991	3342
112	2007	3322
113	2023	3301
114	2037	3277
115	2053	3257
116	2070	3239
117	2085	3216
118	2101	3197
119	2117	3176
120	2132	3155
121	2147	3133
122	2162	3112
123	2177	3091
124	2193	3070
125	2207	3049
126	2223	3029
127	2239	3009
128	2254	2989
129	2272	2971
130	2291	2956
131	2312	2942
132	2331	2927
133	2351	2912
134	2369	2895
135	2388	2879
136	2405	2861
137	2419	2840
138	2434	2820
139	2449	2799
140	2464	2779
141	2478	2758
142	2495	2740
143	2510	2719
144	2524	2699
145	2541	2681
146	2557	2661
147	2572	2642
148	2587	2622
149	2604	2604
150	2623	2588
151	2642	2572
152	2661	2556
153	2680	2541
154	2701	2527
155	2722	2513
156	2737	2493
157	2752	2473
158	2767	2453
159	2782	2434
160	2796	2414
161	2811	2394
162	2829	2377
163	2844	2358
164	2859	2339
165	2878	2323
166	2893	2304
167	2908	2285
168	2923	2265
169	2937	2246
170	2952	2227
171	2967	2208
172	2982	2189
173	2996	2170
174	3013	2152
175	3028	2134
176	3044	2115
177	3058	2096
178	3073	2077
179	3089	2059
180	3105	2041
181	3120	2023
182	3135	2004
183	3150	1986
184	3166	1968
185	3182	1950
186	3198	1932
187	3213	1914
188	3228	1896
189	3243	1877
190	3258	1859
191	3273	1841
192	3289	1823
193	3304	1805
194	3321	1788
195	3337	1770
196	3351	1752
197	3366	1734
198	3384	1717
199	3403	1701
200	3422	1685
201	3441	1669
202	3461	1654
203	3482	1638
204	3501	1622
205	3517	1604
206	3532	1587
207	3547	1569
208	3562	1550
209	3576	1532
210	3593	1515
211	3608	1497
212	3622	1479
213	3637	1461
214	3654	1444
215	3670	1427
216	3685	1409
217	3701	1392
218	3716	1374
219	3735	1358
220	3754	1342
221	3773	1325
222	3792	1309
223	3812	1293
224	3833	1277
225	3848	1260
226	3864	1242
227	3879	1225
228	3895	1207
229	3910	1190
230	3925	1172
231	3940	1154
232	3955	1137
233	3972	1120
234	3987	1103
235	4002	1085
236	4017	1067
237	4032	1050
238	4047	1033
239	4062	1015
240	4078	998
241	4094	981
242	4109	963
243	4125	946
244	4141	929
245	4156	912
246	4171	895
247	4186	877
248	4201	860
249	4216	843
250	4231	826
251	4246	808
252	4263	792
253	4278	774
254	4297	758
255	4312	741
256	4327	723
257	4342	706
258	4357	689
259	4372	672
260	4387	655
261	4402	638
262	4419	621
263	4439	605
264	4456	588
265	4473	571
266	4488	554
267	4503	537
268	4526	521
269	4545	505
270	4564	488
271	4583	471
272	4604	455
273	4626	438
274	4640	421
275	4655	404
276	4671	387
277	4686	370
278	4701	353
279	4717	336
280	4735	320
281	4753	303
282	4768	286
283	4785	269
284	4799	252
285	4814	235
286	4829	218
287	4847	201
288	4870	185
289	4890	168
290	4908	151
291	4928	135
292	4948	118
293	4963	101
294	4977	84
295	4992	67
296	5007	50
297	5022	33
298	5036	16
299	5051	0
